Time	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	C2	C3	C4	C5	D1	D2	D3	D4	D5	rep	exp
21600	66.81050662	85.26185184	55.88520972	25.72654483	5.635171517	42.84771862	27.65921742	18.63395076	9.765904653	3.084094975	65.38665038	66.3119625	39.66081675	21.95087775	9.125078948	54.84192958	63.28849975	48.15715978	26.7272892	10.39445237	C	CS
22200	65.38900309	84.05350862	60.24551085	28.56951251	6.778097219	43.99053002	29.31683133	19.81465805	10.58638134	3.395385571	65.48314541	66.71060778	43.18135257	24.41722593	10.39052882	53.81336375	63.50203279	49.47488441	29.2975654	11.92266443	C	CS
22800	64.15726433	82.07914316	64.12516856	31.55786789	8.086892492	44.24287111	31.01234759	20.88719929	11.53787136	3.833221617	64.19605909	68.12358788	45.75690494	26.68316272	11.74155347	53.69234282	63.32781098	51.57112139	31.90312831	13.60691036	C	CS
23400	62.30620598	79.60591135	67.71449382	34.49781003	9.44109752	44.38944546	32.91182195	22.67108073	12.61943536	4.342888867	63.56153446	69.12621626	48.06630541	29.10740622	13.09871171	53.54287315	63.73369605	53.09605118	34.50813436	15.50372867	C	CS
24000	60.42007298	76.92905243	70.33734482	37.42003207	11.04345035	44.79710481	34.87606064	24.4421907	13.66234264	4.981163753	62.25096227	68.922128	50.21966896	31.47264465	14.63209432	52.36516506	64.13652309	54.17379411	36.98004328	17.58161643	C	CS
24600	58.21779679	75.90049046	71.28212321	39.82521312	12.84832108	45.40105028	36.5269374	26.0186609	14.70926089	5.633598591	59.92075836	65.96644069	52.51420089	33.78266297	16.30378071	50.82120278	62.79481009	54.88564982	39.21596709	19.74421389	C	CS
25200	55.85815518	74.39803466	70.90394535	42.35382708	14.8373237	45.1041893	38.15076228	27.50959807	15.63698527	6.266133532	57.60997699	66.5754334	54.06996445	36.13930531	18.19485963	49.72614367	62.49565531	55.62051386	41.624793	21.92067479	C	CS
25800	53.23436931	72.91639896	70.90707262	45.14120457	16.78347583	45.04897846	39.52655786	29.25165601	16.56238466	6.888480774	55.22460918	67.7087073	55.43339597	38.64451083	20.27822728	48.58897498	61.81888405	56.07503389	43.75492002	24.18441976	C	CS
26400	50.21763115	71.03395831	70.91453508	47.32484976	19.02275211	44.89662386	40.56620044	30.95916843	17.50006762	7.546490679	53.13025581	68.04251679	56.66079622	40.74882629	22.53913182	47.78795929	61.30107753	56.53884309	45.5515628	26.34961613	C	CS
27000	47.72790126	69.23935613	70.66563079	49.11237865	21.27486112	44.35919543	41.56874557	32.34534141	18.40033546	8.232572105	50.28675333	67.91388123	57.26243035	42.56061705	24.94060025	46.34285703	61.31905416	57.24080253	47.33116548	28.8344218	C	CS
27600	46.28148271	67.47443963	70.86372315	51.01320152	23.68327371	43.19156871	42.33143552	33.45214133	19.29807283	8.917138641	46.9913465	67.30361895	57.68155782	43.75963217	27.3116863	44.57771152	60.4080044	57.12213153	48.97981626	31.0462665	C	CS
28200	45.36287652	64.98726345	70.3275404	52.55277502	26.09315923	42.37283926	43.19065509	34.74130545	20.11940615	9.642233187	44.43880742	66.85820327	57.30149657	44.71048929	29.64146814	41.96099495	59.38233174	57.08320125	49.92133525	33.0381315	C	CS
28800	44.58909797	62.36342579	69.3045568	54.04606505	28.48055606	41.49505276	44.00759242	36.24626106	21.00802811	10.36545188	42.40959268	66.05649888	56.89406107	45.37432387	33.0809495	40.27298446	58.77021196	56.35178362	50.66991452	35.48041598	C	CS
29400	43.59900456	59.36998163	67.2843803	55.18210658	30.81910528	40.6481778	44.64019457	37.44279259	21.82160139	11.07134652	41.06481685	64.70172584	56.61170909	46.31757669	36.02438236	39.69987793	57.61430999	56.32074199	51.1277952	37.45138158	C	CS
30000	42.48574619	56.11848017	65.60221122	55.92681107	33.40133234	39.69898497	44.94980543	38.2359605	22.65265316	11.74052062	39.33540497	63.18449702	56.12353098	47.19005005	39.54339868	39.29112765	56.36784289	55.1382989	51.77853284	39.59718397	C	CS
30600	41.13779571	52.78715191	64.66526396	56.74180091	35.78067432	38.73776889	45.00544152	39.06461717	23.42858224	12.46192077	37.20948539	61.17523177	54.99596814	48.21445766	42.9748107	38.22152411	54.78023828	53.78853011	52.176364	41.32374428	C	CS
31200	39.50119865	49.84212646	63.58513122	56.55141524	38.29679096	38.00564713	44.93561546	39.37508642	24.28432429	13.27882905	35.82490751	59.06253973	54.58949333	48.88289295	45.6631888	37.28390898	53.53933507	52.61832372	52.62427288	43.36522378	C	CS
31800	37.37703803	48.09222767	62.37479808	56.56384789	40.8293477	37.24353881	44.81717645	40.16018253	24.80421075	14.12660381	34.71720409	55.22531955	54.35229896	49.53122499	46.724191	35.52660768	51.90994174	52.28632307	52.82579349	45.0672036	C	CS
32400	35.48635567	47.04482517	60.91331629	56.3155238	43.36332629	36.41030819	44.77933996	41.09990167	25.54411362	14.93641588	33.71648952	51.7064962	53.82525501	49.60335026	48.69098395	33.30953552	49.52739533	51.93185017	52.79477351	46.43699255	C	CS
33000	33.76814034	46.33261367	59.44710203	56.55783548	45.82686846	35.58473758	44.3875057	41.13430149	26.31151978	15.75713648	32.35504123	49.35422263	53.67840256	49.53901582	50.79039964	31.21073945	47.21663959	51.95174942	52.54540625	47.62137839	C	CS
33600	32.21829346	45.62182542	58.0206736	56.04650586	47.92969074	34.71181823	43.87154354	41.94079641	26.93549017	16.57736858	30.89584884	47.49386563	54.21125831	50.20507646	52.82119561	29.15853967	46.52589295	51.89217758	52.48124869	48.28824349	C	CS
34200	30.84898475	44.81900146	56.36392379	55.67898185	49.58040459	33.69286921	43.13591318	42.23055851	27.60632746	17.40126194	29.38693905	44.73779269	53.10522139	50.5926466	54.07375555	27.02559117	45.41854364	50.70543533	52.08235023	49.24963255	C	CS
34800	29.69613892	43.65814602	54.47851224	54.872546	50.67628733	33.08553118	42.40599994	42.66108961	28.24915983	18.20484426	27.81924983	41.76796931	52.40702128	50.76435161	55.51134367	25.17293685	44.13232362	49.54914145	51.91346273	49.45566051	C	CS
35400	28.84017821	42.09488259	52.6789567	54.03322383	51.73264514	32.18699748	41.49080814	43.11856648	28.86997336	19.03573168	26.34718834	39.17989442	51.79799803	50.35343089	56.38561309	24.13540885	41.76112623	48.40524031	51.62560796	50.08115122	C	CS
36000	28.08017156	40.13291909	50.50125901	52.80860965	51.91231635	31.32362205	40.83251897	43.73705157	29.3534611	19.8590483	24.82929211	36.25470738	50.22216928	49.55805234	57.11760962	23.32879956	39.20962123	47.32575854	50.64891184	50.76521164	C	CS
36600	27.47380698	38.4546345	48.40799733	52.17528874	51.54670519	30.64334384	40.36031608	43.97062289	30.00366058	20.69869276	23.44554201	33.62979037	49.24506881	49.7549631	57.04293639	22.50037454	37.40540066	46.06824358	50.09051611	50.9302553	C	CS
37200	26.9516961	37.11651038	45.92987763	51.67422345	50.99615568	29.73241388	39.97080822	44.39480576	30.47298878	21.55249628	22.1955395	31.861903	48.41270881	49.75874204	57.66315975	21.68317692	35.89062959	44.84709931	49.67620188	51.02081389	C	CS
37800	26.42575775	36.03400472	43.6672663	51.20557998	50.7320833	29.03748484	39.49658982	44.41848932	31.11955095	22.41959689	20.99543835	30.60752656	46.79265262	49.30168961	57.36117721	20.84395459	34.3772526	43.00521495	49.30778875	51.06471445	C	CS
38400	25.88030578	34.97336862	41.4037557	50.12814286	49.909043	28.25279789	39.01813912	44.96655737	31.69621757	23.25242444	19.84469589	29.6120531	44.80176835	48.87247044	56.55760288	20.08957018	32.62824893	41.21839874	48.90560359	50.99388661	C	CS
39000	25.38826084	34.04126732	39.53989733	49.21279296	48.8871832	27.37988523	38.28581641	45.3596225	32.22448459	24.04822051	18.69568425	28.47804919	42.67293008	48.3499546	56.48769667	19.26203523	31.11733309	39.16285066	48.41633711	50.88511927	C	CS
39600	24.94846018	33.16829163	38.31686324	48.4134516	48.06907121	26.62825214	37.58290116	45.23038423	32.48567834	24.79157093	17.68828765	27.33339648	40.36096311	47.75029048	56.7268401	18.38689915	29.89992891	36.9886525	47.96859876	50.46069186	C	CS
40200	24.58365785	32.42334891	37.08379649	47.55514458	46.50722938	25.89886134	36.78122957	45.10676559	32.76737016	25.60259329	16.81593253	26.30753635	38.68484188	46.92415325	56.85272593	17.58639103	28.66451628	35.10339138	47.58281707	50.29963617	C	CS
40800	24.20645261	31.74350571	36.05527867	46.79024457	45.52075101	25.11011889	36.06054802	45.14387745	33.02748134	26.47761589	16.00278218	25.11475381	36.98152839	46.01401156	56.79067169	16.76038646	27.5000175	33.518978	46.76409609	49.67769746	C	CS
41400	23.89948491	31.06767254	34.61329833	45.92192928	44.45604435	24.25933284	35.29589434	44.65177261	33.1448323	27.28819509	15.2643651	24.02233751	35.22383056	45.54523158	56.73851952	16.02599812	26.49094901	31.7411861	46.1226818	49.31981083	C	CS
42000	23.68150945	30.39630235	33.13642927	44.93633083	43.39885165	23.32096233	34.56263379	43.70059433	33.60747005	28.13408835	14.69482886	22.95153067	33.4178508	44.18673616	56.57352654	15.34530568	25.51108204	30.04793901	44.44440928	48.67687269	C	CS
42600	23.42386777	29.7949855	31.48510914	43.56627346	42.50773966	22.23958499	33.71334572	43.01523019	33.96165119	28.83498635	14.16362946	21.97849536	31.33985919	42.92968373	56.42418011	14.69351143	24.59951391	28.18968743	43.43003427	48.13898991	C	CS
43200	23.17616906	29.22192768	30.08696062	42.47037751	41.24143169	21.10547223	32.99529549	42.84510414	34.12477349	29.50660784	13.65951072	21.08581694	29.57336444	41.41069532	55.48656452	14.13377545	23.74424949	26.27599577	42.18454942	47.84445412	C	CS
43800	22.977488	28.66525811	28.97027703	41.0003807	40.29023975	20.10103899	32.26479206	42.52319176	34.27347662	30.15058117	13.22150891	20.32448293	27.58536691	39.57552537	54.80490695	13.64137749	23.03803922	24.71246197	40.45601915	47.42368566	C	CS
