Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
29700	28.72923097	45.02730354	54.87334724	32.75158485	9.551549604	39.30329909	43.37792307	50.81666591	33.98606325	11.47522202	41.86600386	42.33005298	43.16887545	30.70083524	12.84110162	26.90567222	44.23611741	56.14667068	58.68712043	22.15162712
30600	25.55639483	42.8957292	54.84119048	36.66879449	11.39731285	35.49807892	41.37036435	50.55596315	36.35162119	13.47007869	39.10884906	41.51388214	44.11388446	33.41221268	14.48126711	24.4864936	40.59153706	53.61796118	60.31667042	26.38436653
31500	23.18284097	40.83448373	53.16533291	40.09243495	13.5096147	32.06070674	39.29607469	50.52310163	38.72925903	15.59423923	37.91412262	41.30567814	44.89383003	35.35914311	16.4116837	22.2058161	38.35705038	51.0994057	59.09025193	30.75919519
32400	20.86815989	38.72807148	50.51103559	42.83533952	15.85053601	29.22949569	37.55104414	48.3089405	40.47029674	17.78377314	35.89322726	40.98289622	45.77582431	37.06742115	18.41588373	20.38307333	35.67018861	49.01202536	59.22951277	35.44618236
33300	19.78742972	36.77110831	47.64193489	44.74686886	18.44906368	27.19126553	36.00477063	46.77132307	42.08291574	20.06343654	32.86611251	39.77825659	45.70453014	38.69596082	20.55196142	19.36035344	32.04901709	46.73359112	57.91598418	38.87723334
34200	18.17177949	34.62409485	45.3439515	45.65695565	21.22030135	25.48242314	35.09373168	44.91504913	43.14588539	22.23996538	29.60260033	39.1352312	45.98523046	40.07265945	22.76245312	18.6802226	28.82145878	44.5310259	55.47857747	41.79663987
35100	17.04886407	32.07093342	43.13393818	45.83432068	24.18315169	24.14629717	33.83674465	43.33524668	44.0119389	24.56282802	27.1440255	37.41568515	45.32990066	41.36201842	25.09285467	18.28796462	25.82750394	41.7485913	51.72882372	44.58063402
36000	16.81759558	29.71302073	40.75469369	45.80441405	27.16832072	22.70116239	31.94783792	42.1824369	44.82031584	26.68429934	23.71741331	36.20749966	44.15046473	42.39686831	27.55134244	17.84629746	23.25827773	39.23351234	48.57081595	47.16763428
36900	16.74623709	27.45459316	37.92567959	44.78877495	30.21857712	21.85182307	29.71919337	40.00337363	45.13065268	28.54985032	21.56928686	34.14369769	43.36650053	42.96630271	30.00275488	17.38914225	21.23211398	35.96315045	47.17602873	48.15615274
37800	16.00958293	25.53686405	35.32574588	43.75388529	33.18217616	21.1573449	26.48544339	37.53276831	44.99648432	30.37987822	19.84319922	32.76074456	42.3479025	43.13654139	32.31446656	16.80275073	19.32309228	33.19948749	46.20567297	49.30129482
38700	15.93977262	23.68816442	32.60450798	42.23279203	35.98823612	20.58291686	23.63252811	35.85021368	44.15225401	31.95277129	18.72563124	30.97630738	40.93276726	43.18067774	34.68852601	16.3031357	17.72918223	30.57660844	42.72825682	49.3065559
39600	15.47494621	21.93678673	29.94985343	40.47592857	38.31962578	20.20283397	21.67869641	34.27962519	42.91431976	33.3224659	17.79562664	29.53454866	39.0418465	43.03656018	36.96172372	15.50847652	16.71462369	28.11749338	39.75601372	49.88408503
40500	15.03766453	20.70418416	28.82097017	38.81694939	40.34839452	19.96334675	20.31490922	32.66981017	41.98096506	34.56382174	16.91497276	27.8797291	38.02071187	42.32795736	38.96820109	14.65937671	16.16631842	25.48432063	36.73728005	50.20075052
41400	15.22944202	19.42615365	26.62712317	36.66034415	41.67645145	19.85694684	18.71772144	31.27584539	41.07718405	35.41673088	16.19376354	25.70728456	36.30830702	41.57729199	40.50506244	13.8520598	15.66493933	23.47004536	34.12167568	50.19913908
42300	14.5473787	18.36580959	25.18806984	34.69277357	42.36042811	19.67027562	17.68526336	29.71067671	40.20283154	35.88253536	15.62794704	23.17445906	34.85958507	40.94457813	41.50291132	13.22490629	15.08366769	21.65815717	30.84919839	49.45246883
43200	14.37570148	17.92844527	24.22293723	32.61069496	42.59005819	19.53803884	16.83121197	27.55732694	39.142621	36.38167729	15.13151092	20.7612451	33.46006275	39.62508681	41.87250944	12.58000188	14.46299819	20.03227886	27.71199629	47.64670616
44100	14.03650705	17.43526505	22.82305099	30.96735715	41.89813368	19.45562428	16.1448238	25.72988714	38.10594004	36.99902483	14.66192858	19.22352441	31.22057223	38.3961565	41.86992898	12.11240688	13.91663211	18.71482344	24.60315212	46.04384846
45000	13.128696	16.68892398	22.28943986	28.8800812	41.0227315	19.38514842	15.69762009	23.72754147	36.99966762	36.77666115	14.11063476	18.38373159	29.60611822	37.15613919	41.30501103	11.63825461	13.53746804	17.82703735	22.02872907	44.12558726
45900	12.50086334	16.3726027	21.03272276	26.4472915	39.75837307	19.27181904	15.27609489	21.64622874	35.66133728	36.68340502	13.39837236	17.00710478	25.97529477	35.41832926	41.0445291	11.24311769	13.06578887	16.98116464	19.74272308	42.58918486
46800	11.81660695	16.24764512	19.78970218	24.60176282	38.65520341	19.18582199	14.86261228	20.00352714	34.3260289	36.60848024	12.6695166	16.27961658	24.33354708	33.53948277	40.67830313	10.90176852	12.70201867	16.29978598	18.07296356	40.13072657
47700	10.95055835	15.96278649	18.88648433	22.95013603	37.76848142	19.10325811	14.5061023	18.50930058	33.04973544	36.13452464	12.05785018	15.35894691	22.03403646	32.03018936	39.84840733	10.47550545	12.43330993	15.78067539	17.13514245	37.67883548
48600	10.55237939	15.15076834	17.53569692	21.74560056	36.71671975	19.07732188	14.22774654	16.91709226	31.89768741	35.59863906	11.5007092	14.67191416	20.53516976	30.40153381	39.12276706	10.1090929	11.97039259	15.36516687	16.2127447	35.13232077
49500	10.25743667	13.90075532	16.2152769	19.82838339	35.39691482	19.10948557	14.09147004	15.9613148	30.15531623	34.84392292	11.08067489	13.83357494	19.25613677	28.7423175	37.9837126	9.760016204	11.57749875	14.92509551	15.61531682	32.38444238
50400	9.939174784	13.12323315	14.78980545	19.13582323	33.96241957	19.14196301	13.85162026	15.26978622	28.72875609	34.19894966	10.62623134	13.11705444	17.80840481	27.35480532	37.09376834	9.450263497	11.21500672	14.27995459	14.93745266	29.02593397
51300	9.549039388	12.64461865	14.10031296	17.91823608	31.51988351	19.06790297	13.63675455	14.41177398	26.28711962	33.14391614	10.27583475	12.42049953	16.93104574	25.5021935	35.83237321	9.240793172	10.97493869	13.62262819	14.31609012	25.86614667
52200	9.046814438	11.97240654	13.68771013	17.58078859	29.36842284	19.01042311	13.54379395	13.74370372	24.03123615	32.10035041	9.980004974	11.73270822	15.722921	24.00592713	34.88432169	9.024401133	10.64990768	13.05590004	13.79700952	23.64323611
53100	8.732479621	11.46715117	13.02146808	16.33840705	28.13934539	19.0044757	13.38603431	13.15116476	21.89543013	30.74165041	9.714679268	11.23898669	14.39938997	21.83663132	33.55995816	8.79365106	10.38034477	12.66838836	13.32998295	21.70641088
54000	8.617527735	11.04695804	12.23316379	16.41032456	26.15173319	18.98064293	13.29224574	12.78978717	19.97655636	29.53011376	9.45990745	10.77433238	13.29229522	19.89941742	32.30372358	8.591098072	10.16946887	12.25833888	12.82173312	19.98284515
54900	8.538926243	10.65241169	11.78431218	15.76160879	24.39288947	19.0034389	13.21846945	12.45409767	18.33158445	28.03065007	9.239027304	10.35412509	12.44257258	18.67015148	30.72257161	8.417294569	9.912062458	11.97617814	12.35026766	18.43170325
55800	8.445689273	10.35236236	11.57478451	14.65224126	23.06264811	18.97593048	13.18657912	12.20371697	17.36254338	26.05202227	9.103115121	9.986454271	11.74732302	17.23344813	28.81443088	8.29955317	9.597534595	11.67967346	11.96387082	17.05797194
56700	8.186586884	9.78578731	11.59237567	14.48282845	21.94145937	18.98866397	13.10650212	12.13902153	16.44914933	24.11362619	8.964660077	9.659963219	11.1481029	15.97822519	27.3928526	8.128796572	9.254576628	11.26267154	11.60527058	15.86000287
57600	8.052631267	9.33468246	11.14612859	14.01912563	19.89632394	18.96590243	13.06864634	12.01113919	15.30695805	21.84694091	8.844101293	9.494454231	10.61118382	15.18240738	25.61226265	8.052027114	9.006085467	10.9382697	11.26097826	14.84854869
58500	7.87996811	9.152875031	10.85345368	12.67628749	18.59979914	18.92858829	13.00844194	11.8858975	14.45039842	19.76535744	8.703283051	9.315006891	10.08025407	14.7645967	23.82703505	7.910449858	8.742381086	10.6992873	11.04255857	13.91899632
59400	7.742672527	8.969811936	10.55176095	12.20222885	17.05563738	18.95843418	12.9950928	11.80758034	13.88490175	18.06279911	8.602586154	9.021226458	9.661934525	14.07209266	22.17753388	7.797296644	8.49696004	10.43217122	10.79982258	13.05490756
60300	7.594958887	8.684604115	10.33428674	11.85559055	16.59997306	18.925614	12.93147366	11.71374157	13.49905152	16.06475737	8.505184049	8.783156752	9.186633841	13.24614605	20.32712938	7.681471376	8.253840553	10.20351611	10.50217899	12.29208128
61200	7.429517676	8.381919839	10.23411406	11.11851603	15.87142568	18.96878581	12.92530644	11.62457099	12.90356543	14.40898984	8.451206365	8.494360748	8.818936871	12.35679621	18.29487424	7.605436564	8.068958541	9.999565752	10.20744954	11.48438659
62100	7.265189288	8.056977651	10.07537138	10.79529713	15.20685119	18.94469698	12.86150091	11.52647367	12.20509101	12.59961904	8.431154114	8.152162807	8.393470259	11.38639996	16.5761214	7.518479206	7.918674813	9.767568764	9.880546542	10.78756403
63000	7.165530346	7.845200797	9.881485431	10.53817067	13.81360155	18.98885299	12.850254	11.45141327	11.85311409	11.32819597	8.356563029	7.954679942	8.122896557	10.71036721	14.9117954	7.403339021	7.77277814	9.599377438	9.527336459	10.10697192
63900	7.08391463	7.719124109	9.65959595	9.764053297	13.00158935	18.99394327	12.85419556	11.4846904	11.80986057	10.06835569	8.296804059	7.724012468	7.915513945	10.20019222	13.54976503	7.366907648	7.566344413	9.325452502	9.297643079	9.550953091
64800	6.946226828	7.574642866	9.536984247	9.309712771	12.33953527	19.01052059	12.8141003	11.50459115	11.80456769	9.255947735	8.314090178	7.479881017	7.812050582	9.377561889	12.5105564	7.321183806	7.423555462	9.088465236	8.979728494	9.065457886
65700	6.873416474	7.474857488	9.378422421	9.038278089	11.72555799	19.04272873	12.85362117	11.48383446	11.55196926	8.787889297	8.323710264	7.34385001	7.675428383	8.811500269	11.79444516	7.223557654	7.263232967	8.897233329	8.712852254	8.640992516
