Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	E7	D7	E2	E3	E4	E5	E6	D6
41746.64073	19.21752995	36.8602308	45.42325836	23.35136552	30.10014973	41.92372412	29.26020073	44.88867944	45.2622148	18.27743725	26.98836068	32.55574077	31.41802644	37.70305508	43.147147	29.06029434	41.27355531	17.48232809	17.18235996	31.10210112	40.49385176	23.50434704	37.56626882	23.32072725
42646.64073	18.41600016	34.90903946	43.70405454	22.49447143	27.2579355	40.65373048	27.24361262	42.73444771	45.02500647	17.84688946	25.51810722	30.90631484	28.11418031	33.83763444	41.90839797	29.04894561	39.86647666	17.78645464	16.01852693	28.8379704	37.89819716	21.60147541	34.57374703	23.85118653
43546.64073	17.53422302	31.940567	42.13970577	21.85637948	25.04560383	39.58733859	25.5895659	40.94045556	44.59084243	17.44329346	24.19621094	29.5474209	24.33850467	29.88106896	40.62356121	28.11419331	38.40682667	18.2704517	14.98118646	26.58010792	34.54475531	20.17443246	31.89999022	25.1701368
44446.64073	16.68468498	29.36564023	39.98665722	21.19799897	23.3189649	38.07429219	23.59093877	38.62018042	44.12136234	17.32960591	23.2900403	27.4485652	21.27559101	26.37638717	39.88620755	28.91698727	37.17564595	18.8674044	14.18746587	24.75592284	30.09034157	18.83875443	29.00825697	25.5414379
45346.64073	15.9574848	26.76794691	37.31229977	20.54093206	21.99667995	35.93938575	21.43386222	35.96490952	43.34268456	17.19610674	22.5217054	25.07665404	19.15267974	23.66246904	38.88903173	28.9831604	35.75953333	19.4265546	13.61259284	23.46929417	27.39824518	17.75560121	25.97840605	26.58839663
46246.64073	15.31188297	24.60640083	34.88096515	19.77916582	21.12544727	33.54986797	19.16001331	32.5920764	41.60860703	17.07176684	21.72280458	24.00248543	17.60097708	21.83770233	37.10609662	29.18700076	34.1736682	19.53314206	13.17513245	22.50216843	26.17340634	16.94108881	23.28657051	26.27430708
47146.64073	14.77049527	22.61205766	31.74260645	19.04347212	20.28576295	30.86677959	17.82311333	29.57732485	40.65847859	17.00884069	20.97358503	22.93366963	16.5057272	20.50670754	35.15231065	29.23451169	31.80237131	19.9334791	12.77139405	21.51695305	24.27830516	16.37813748	21.34339385	26.24683767
48046.64073	14.37595592	21.07742176	27.50177789	18.2565842	19.46921455	28.25016456	17.43368777	27.52685462	40.24774401	16.99359335	19.88501191	21.30484803	15.71777504	19.58262988	33.17205955	29.02362753	29.56394701	21.8484795	12.37677441	20.58310269	22.442234	15.69120784	19.81015625	24.80900369
48946.64073	14.00198366	19.55780369	25.21646973	17.48227822	18.75417396	26.15645133	17.35552838	25.04034676	39.88054777	16.88296068	18.60566894	19.88638003	15.06798245	18.62956113	31.16560357	29.01972271	26.9396539	21.43085294	12.03957338	19.95527942	20.62452381	15.28516846	18.68312459	24.9083938
49846.64073	13.59097424	18.39148836	22.76451401	16.72792961	18.10971294	24.24263292	17.00815004	23.13695665	39.24550319	16.6419065	17.33755377	18.35420025	14.4829198	17.72140305	29.38883246	28.4360694	24.38514712	22.29835125	11.73411693	19.37074291	18.67323454	14.90775475	17.76026574	24.95764844
50746.64073	13.08424642	17.27555159	20.00584831	15.88931738	17.58949889	22.68663218	16.30950819	21.8176071	37.95581844	16.53001665	16.2232896	17.55222064	13.87795291	16.87892767	27.65946895	28.0858232	22.0206625	23.38374696	11.41277384	19.01069243	16.79580981	14.59253606	16.9867448	24.22825443
51646.64073	12.52147568	16.47224055	18.37711658	15.13285034	17.00724791	21.22941034	15.31377388	21.20294607	36.56282109	16.27070423	15.58687887	16.91753426	13.24623681	16.10145064	25.77186386	27.47918426	20.10801475	23.82388974	11.14968591	18.60984055	15.23308425	14.3344753	16.37402738	24.67637366
52546.64073	11.97889538	15.84765427	17.34844433	14.42808904	16.6077341	20.17948271	14.51117929	20.4918545	35.16586752	15.927497	15.16129493	16.58877102	12.65345649	15.42644035	23.6004195	26.82847981	18.61478058	24.12173896	10.93393621	18.41561624	14.09291905	14.16293132	15.92272527	24.77976953
53446.64073	11.47685943	15.12788069	16.70190164	13.75873912	16.17818997	19.3836699	13.60774103	19.72464036	33.73722535	15.49866436	14.73721392	16.39299166	12.07316987	14.68679766	21.47888272	26.24857832	17.52369831	24.87548584	10.74743012	18.11687397	13.19818135	13.93121377	15.45835606	24.27809891
54346.64073	11.07791499	14.30428122	16.09485996	13.21911301	15.59482904	18.81693727	12.92784155	19.080057	32.07578737	15.00582269	14.18912451	16.17933736	11.48035848	14.11350201	19.97808591	25.79738788	16.70713785	25.87095164	10.57728253	17.77025487	12.53246047	13.75235598	15.1641929	24.70336673
55246.64073	10.72222578	13.50480359	15.55425721	12.73805123	15.0279804	18.17824618	12.23323082	18.03122333	29.99432739	14.45299661	13.67739283	15.84820576	11.00777144	13.57413358	18.69709411	25.23499195	15.90422299	25.90994303	10.42980535	17.52616672	12.00262599	13.65899838	14.90410626	24.82809692
56146.64073	10.42293243	12.85753798	15.04366856	12.30781699	14.43779406	17.61873244	11.59898564	16.95279089	28.14564129	13.98440098	13.06596054	15.51601909	10.51535801	13.079195	17.70267793	24.31098553	15.20953839	25.62124875	10.27809864	17.25680938	11.52203166	13.64388135	14.63621262	23.90570968
57046.64073	10.14227594	12.2094758	14.58007501	11.95079677	13.92870942	16.97217916	10.94654096	15.88420622	26.56255284	13.49411352	12.49833853	14.99228011	10.04998402	12.6098131	16.9639966	23.56410994	14.61156939	24.95264641	10.18405788	16.9556503	11.13593112	13.54236756	14.43711609	23.45653867
57946.64073	9.877437536	11.61950361	13.94690113	11.56839983	13.29566702	16.4489318	10.44698624	14.87056814	25.04839823	13.06391952	11.93198596	14.63401732	9.658112115	12.15054051	15.98683536	22.87477341	14.17981609	25.34813057	9.997896017	16.6190018	10.77108047	13.52584108	14.31641176	22.95334391
58846.64073	9.666894667	11.07303128	13.23301243	11.19347791	12.80914703	16.08058345	10.03059609	13.8024732	23.18854762	12.64748703	11.48193113	14.2067585	9.337879676	11.72334645	15.1680024	22.29263536	13.8479476	25.81020728	9.814662677	16.19888777	10.52615773	13.51889383	14.25739806	22.20977945
59746.64073	9.470707353	10.59652672	12.53748602	10.92159792	12.42391618	15.60593398	9.622262002	12.8328823	21.13260901	12.24644435	11.09514193	13.75737533	8.999534856	11.30914261	14.32684012	21.82774154	13.52293526	26.09054062	9.66997388	15.86094945	10.26819426	13.48031381	14.20277594	21.69782621
