Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7																								
48073.69447	19.91572157	38.19219233	40.89463694	19.18333748	33.26641898	40.38207525	19.6588559	24.62863547	33.48978728	19.19511432	28.64185613	37.9218419	11.76453566	9.077883542	25.76862123	23.20898197	26.29404416	34.83356943	28.19943756	20.44255883	31.10811962	23.62528935	29.74851558	36.58137559																								
48973.69447	18.29792326	37.53206385	39.85161378	18.20444432	32.38376286	39.78631979	17.83476751	23.07726101	32.3983393	17.90703821	26.42818907	36.76776403	10.98826585	8.454732713	23.63614665	21.04379449	24.84755914	33.6616208	27.09983421	19.64492642	29.34975198	22.50755004	28.84817055	35.68920709																								
49873.69447	17.17856095	36.70602298	40.3931953	17.44156077	30.75508552	39.01135493	16.22602398	21.29087499	31.37810239	16.84401429	24.42077048	35.29806396	10.41498098	7.915510062	21.5611743	19.55927787	23.44102532	33.27488065	26.15729143	18.96637349	27.336212	21.31536228	27.77473802	33.55799976																								
50773.69447	16.28151814	35.96434979	41.1904006	16.60878158	28.68818111	38.15176747	14.95162257	19.06245878	28.75073337	15.85901266	23.00471422	34.23950787	9.844449468	7.389159571	19.63199031	18.72463131	22.16851619	32.48583116	25.40716955	18.3338486	25.52628304	20.54194338	26.76641387	31.66866109																								
51673.69447	15.39238415	34.84781945	41.25644287	15.762223	26.37544001	37.22098244	13.95684697	17.78290797	27.40490974	15.0216922	21.65410448	33.14663695	9.43144593	6.962716729	18.08517666	18.21208449	21.11640965	31.47868463	24.87147238	17.80852254	23.78324803	19.80664868	25.68576393	30.34296459																								
52573.69447	14.48558583	33.77322993	40.78101849	14.99402415	24.59683216	35.76952993	13.19313083	16.33774639	26.30587012	14.31193516	20.44495788	31.88062563	9.028937846	6.580470944	16.85315423	17.91332181	20.322126	30.36166899	24.4092626	17.36260055	21.95520936	18.96708453	24.4957983	29.39630702																								
53473.69447	13.51919686	32.44077379	40.6483774	14.35730648	22.64739244	34.80086357	12.56881605	15.24552061	25.35490057	13.639178	19.68616695	30.34531286	8.678765891	6.18636818	15.57102932	17.44280732	19.6154598	29.66460076	23.96704831	16.94819299	20.06154479	17.96539936	23.20465375	28.06978451																								
54373.69447	12.57581167	31.14419369	40.62806489	13.96334536	20.99997679	32.94620214	12.08199443	14.59158479	24.04903618	13.00583271	19.3771622	28.98119645	8.391260249	5.919825427	14.47248021	16.88084558	18.81281364	28.85329629	23.42235247	16.66181815	18.46116491	16.90653742	21.80038658	26.66949514																								
55273.69447	11.72659989	29.50875207	39.42825745	13.66100766	19.65116055	31.55919713	11.59004865	13.45122364	22.53006568	12.44591157	19.14675739	27.19588295	8.098197095	5.647688755	13.51588954	16.22995478	17.93618167	27.82364405	22.77909503	16.39619072	16.8865572	15.91571816	20.16368354	25.4283825																								
56173.69447	10.99954388	27.90827948	39.16129391	13.36262244	18.44418198	29.36027842	11.1207169	12.6008868	21.39000184	11.98022045	19.14186778	25.35034647	7.832233156	5.395613594	12.7258292	15.56211946	17.05230967	26.94169387	22.16279065	16.22600917	15.94645119	15.09378645	18.27081977	24.09552428																								
57073.69447	10.33786044	26.22163901	38.636144	13.06098414	17.36873033	27.30286107	10.64950689	11.92269906	20.25149028	11.5752148	19.10784961	23.63836359	7.58720502	5.191440519	12.14335531	14.82357531	16.34688928	26.09500723	21.57565557	16.07938114	15.26719148	14.2528649	16.97955768	22.95854598																								
57973.69447	9.736179725	24.38622779	37.72305054	12.75744356	16.45821718	25.05132681	10.19818087	11.31693506	19.26885568	11.21731324	19.02973964	21.70993741	7.377395117	5.018354209	11.44022823	14.11615776	15.93873052	25.44263056	20.990778	15.86158629	14.74783236	13.52625422	16.2572137	21.72491123																								
58873.69447	9.152913333	22.2523656	36.36720292	12.48375034	15.61801648	22.38036189	9.827197485	10.78277011	18.61255354	10.9002455	18.92577291	19.97712345	7.138925029	4.856685947	10.94874315	13.47891166	15.70633953	24.62340335	20.46976538	15.44987353	14.37623604	12.92138393	15.68082917	20.53574645																								
59773.69447	8.633625505	20.1093284	34.7344759	12.19758969	15.06961613	20.75042494	9.485605918	10.3652949	17.90901736	10.61524792	18.85771716	18.71175601	6.931647599	4.694239333	10.44304325	12.9655436	15.501502	23.84356908	19.94112366	14.99078839	14.03632343	12.39477073	15.03350214	19.0059055																								
60673.69447	8.199481436	18.73887552	32.80626622	11.94137099	14.78845145	19.53476292	9.207801505	9.92586726	17.25335896	10.32089937	18.98405069	17.64468764	6.743444092	4.61300286	9.997378607	12.51527485	15.28901864	23.12842087	19.43018421	14.52551613	13.78755528	11.9406386	14.41684992	17.71746028																								
61573.69447	7.81611539	17.94973885	30.42399881	11.68958221	14.48390441	18.3232503	8.946462072	9.536130306	16.21271243	10.02756709	19.16383045	16.5145746	6.578815375	4.512599648	9.482150916	12.08984652	15.10328952	21.98830571	18.977386	14.11796619	13.49013553	11.6051735	13.91490381	16.67937673																								
62473.69447	7.452784523	16.98222737	27.69099483	11.4565727	14.27947937	16.82047318	8.716905744	9.242154441	15.52750961	9.807491497	19.99082759	16.01360972	6.433028326	4.41688012	9.056251511	11.66907033	14.98488529	20.75609089	18.47884974	13.74562021	13.21911574	11.2823457	13.4495135	15.78991229																								
63373.69447	7.15528388	15.94054125	23.51919091	11.11047609	14.18406491	15.69915678	8.501686556	8.95621888	14.90374509	9.641489111	21.50994882	15.75595618	6.330200192	4.386569939	8.602401973	11.36391308	14.91107136	19.54708204	17.97355688	13.42137956	12.85899808	10.87110348	13.02189829	15.05678848																								
64273.69447	6.842591165	14.86263045	20.19105599	10.80402058	13.91842843	14.4892849	8.313380696	8.669568402	14.30546452	9.556202525	23.34301158	15.34100003	6.23056972	4.310736966	8.236705101	11.06877236	14.84577374	18.13257082	17.54614097	13.120169	12.48757532	10.50975207	12.61061107	14.24924093																								
65173.69447	6.590934528	14.09779648	19.16906937	10.6584279	13.81259224	13.59035812	8.134284166	8.460164801	13.79759049	9.551924082	25.81101619	15.0019111	6.158110795	4.270396363	7.909877818	10.81317211	14.81141842	16.59495104	17.06846434	12.83958243	12.08164411	10.16149748	12.20670413	13.47931612																								
66073.69447	6.350593542	13.40353516	18.28650022	10.56616417	13.62297565	12.93492621	7.982526143	8.236475611	13.38749385	9.441959303	26.29871086	14.54399057	6.092699721	4.277851112	7.633501121	10.597215	14.66911431	15.19368837	16.65967914	12.59625366	11.7257954	9.863362032	11.85405806	12.75029145																								
66973.69447	6.157310134	12.73792051	16.91482516	10.37342854	13.22331359	12.28595814	7.86943007	8.058511402	12.87877308	9.191407065	24.54211779	13.96080727	6.060404603	4.289538659	7.338100235	10.34429955	14.32050148	14.31627238	16.24056048	12.36445223	11.37246664	9.61126907	11.45268312	12.1449304																								
67873.69447	5.973967302	12.13998189	15.48409734	10.1826979	12.86561489	11.72198273	7.695164426	7.891712942	12.45329081	8.874620328	22.12186508	13.43672993	6.003538979	4.296896976	7.125866218	10.08753775	13.90654194	13.84228209	15.9034918	12.15050998	11.08352996	9.372240751	11.09634939	11.62040416																								
68773.69447	5.815823524	11.68379924	14.18357678	9.965122829	12.54597513	11.16875375	7.588957817	7.729907682	12.10520415	8.627327703	20.59930464	12.95772769	5.961026034	4.295182054	6.919646672	9.905167015	13.53270328	13.58138515	15.52232704	11.94939474	10.79351075	9.179639617	10.75060853	11.10856862																								
69673.69447	5.670329009	11.33658405	13.13881245	9.771630855	12.35522547	10.73601845	7.464607046	7.623121826	11.75205123	8.459706462	20.25803091	12.44824706	5.9142914	4.314160155	6.744807736	9.723602786	13.23330925	13.24377698	15.17362364	11.72450472	10.57779281	9.040303375	10.41752826	10.63181587																								
70573.69447	5.491475766	10.98199306	12.22663805	9.637484268	12.34216292	10.40244432	7.368264502	7.539803285	11.45277231	8.373435932	21.57106612	12.02139655	5.868964625	4.317602209	6.570138973	9.591412891	13.01706672	12.80543534	14.86953979	11.51403022	10.36339285	8.823133847	10.15616975	10.19855672																								
71473.69447	5.379042969	10.75219622	11.46836902	9.523784101	12.40564116	10.14767554	7.25652864	7.462559878	11.06199776	8.329123973	23.2591876	11.63847334	5.844444283	4.310430291	6.425039694	9.476946487	12.87682202	12.42843353	14.57620064	11.33089018	10.16344616	8.658883106	9.922272924	9.782854182																								
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
