Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
75600	6.298669582	7.554243538	8.572531952	10.26197737	17.36521204	8.226868559	8.175940277	9.082283484	10.06150915	8.381972267	8.657404148	9.484687589	14.07333092	23.47756564	23.40633134	3.150109702	9.996466861	14.39652369	17.64562965	26.39759232
76500	6.191370806	7.460821608	8.265614429	9.812154556	16.11347395	8.101014485	8.093075806	9.013403551	9.899012926	8.141726871	8.581685861	9.205719496	13.62837417	21.73815537	20.38724512	2.978983308	9.729865741	14.1382789	17.06019414	25.73907587
77400	6.114348545	7.200044844	7.950797861	9.437116267	15.04980651	8.010758626	8.042997042	8.907466763	9.739487722	7.907689905	8.496818448	8.960282158	13.09581723	20.05468393	17.79003456	2.843820418	9.45995107	13.64238423	16.5899665	25.35720093
78300	6.036707313	7.082229467	7.699761447	9.080047996	14.35438119	7.888373577	7.989233063	8.827293031	9.655972887	7.810658664	8.423190316	8.753326378	12.6319571	18.57213467	15.86191249	2.707448776	9.173292508	13.12095235	16.20171601	24.52764072
79200	5.982391561	6.941484146	7.47504848	8.777283059	13.36166318	7.812669121	7.930196023	8.761698294	9.483885595	7.689862558	8.3069695	8.522921184	12.1811347	17.35514252	14.49628219	2.650538452	8.964509484	12.58097186	15.58492428	23.98400733
80100	5.931272664	6.797245336	7.235411261	8.408834547	12.38846923	7.697165381	7.831648936	8.652225629	9.378340389	7.559040092	8.278471607	8.297835987	11.70852723	16.30254124	13.58333515	2.501914805	8.665593739	12.09724144	15.20675417	23.10010317
81000	5.895661125	6.711428216	6.994531956	8.217813681	11.67134778	7.627286758	7.727248354	8.573700829	9.218423409	7.508552769	8.154066126	8.161472863	11.32469874	15.53392873	13.00339926	2.473872544	8.437800311	11.67988046	14.86904859	22.36550127
81900	5.839992901	6.578325734	6.849291342	7.927233452	10.74604709	7.539998119	7.593387164	8.49593809	9.236203913	7.458542187	8.096511058	7.92806923	10.95760746	14.82238263	12.55315937	2.341767385	8.216251386	11.27683766	14.4109269	21.56563962
82800	5.760350181	6.458195333	6.743243419	7.716255275	9.812700174	7.453444372	7.421183518	8.401975994	9.082929834	7.367901109	8.042806326	7.822321758	10.66480132	14.16818529	12.19069555	2.275609104	8.021417293	10.89155418	13.89429919	20.41448739
83700	5.681732541	6.395759501	6.74272868	7.405379616	9.328459487	7.389043764	7.222625591	8.33450632	9.016420232	7.224753321	7.998760444	7.578562087	10.4125539	13.59754007	11.87433704	2.194255179	7.764797122	10.49823505	13.45753188	19.80701536
84600	5.663639441	6.320283802	6.667414795	7.301029384	8.851111503	7.378781424	7.037875011	8.230597514	8.895253925	7.081424969	8.028587979	7.436817413	10.13143097	12.91149923	11.60630391	2.150254435	7.566803655	10.21915391	13.03324049	19.33164299
85500	5.585722253	6.204965062	6.525530665	7.147020838	8.481828652	7.291222994	6.85450985	8.027484942	8.839487689	6.801887056	7.958107929	7.259909665	9.866116825	12.27430258	11.41351629	2.136870709	7.391204192	9.930813314	12.68980958	19.10574947
86400	5.550017878	6.125439134	6.316803607	6.98458464	8.093816959	7.230542263	6.696948281	7.846288571	8.794561003	6.588043853	7.953583916	7.142504001	9.656049544	11.71764124	11.26725953	2.048444033	7.160703511	9.70843483	12.21714729	18.6864441
87300	5.487543573	6.070885693	6.190733776	6.879714665	7.846948439	7.160957412	6.554339167	7.603871854	8.689782841	6.443163723	7.942656388	7.043484465	9.398949664	11.26611498	11.21257836	2.020071622	6.972376658	9.471478281	11.74859787	18.33755257
88200	5.468697205	5.98269644	6.14680864	6.763504448	7.603879193	7.116581211	6.430073425	7.407838806	8.634400124	6.217025849	7.865879408	6.897323315	9.217991056	10.85269856	11.14765972	1.978433473	6.797405171	9.257838516	11.3698404	17.77609576
89100	5.410954903	5.956421665	6.025837142	6.624228006	7.319419508	7.084935443	6.358773361	7.181364328	8.528261731	6.043560888	7.802344246	6.78388103	9.06051894	10.44306146	11.13944168	1.94571784	6.645642347	9.004256797	11.0295211	17.19460757
90000	5.399971269	5.881281149	5.954534522	6.494268852	7.080041173	7.055140869	6.233547894	6.993910154	8.401074694	5.85656658	7.815907402	6.673296833	8.874741695	10.11108647	11.15408784	1.887787604	6.429031591	8.712545306	10.65287967	16.64156536
